"","Layer","Participant","Start","End","Duration","Name"
"1","Turns","S1304",346.926,363.647,16.721,"T1"
"2","Turns","S1304",454.337,484.059,29.722,"T2"
"3","Turns","S1304",538.559,569.254,30.6950000000001,"T3"
"4","Turns","S1304",622.259,656.156,33.8969999999999,"T4"
"5","Brows","S1304",354.279,355.144,0.865000000000009,"gesture"
"6","Brows","S1304",355.211,356.783,1.572,"gesture"
"7","Brows","S1304",631.149,631.781,0.631999999999948,"gesture"
"8","Brows","S1304",642.666,645.416,2.75,"gesture"
"9","Brows","S1304",645.417,646.214,0.797000000000025,"gesture"
"10","Brows","S1304",653.322,653.854,0.532000000000039,"gesture"
"11","Lips","S1304",347.87,349.801,1.93099999999998,"gesture"
"12","Lips","S1304",354.893,355.759,0.866000000000042,"gesture"
"13","Lips","S1304",359.287,362.987,3.70000000000005,"gesture"
"14","Lips","S1304",363.126,363.558,0.432000000000016,"gesture"
"15","Lips","S1304",472.484,473.42,0.936000000000035,"gesture"
"16","Lips","S1304",477.8,483.068,5.26799999999997,"gesture"
"17","Lips","S1304",483.302,484.035,0.733000000000004,"gesture"
"18","Lips","S1304",539.798,541.473,1.67499999999995,"gesture"
"19","Lips","S1304",541.838,543.465,1.62700000000007,"gesture"
"20","Lips","S1304",545.351,548.32,2.96900000000005,"gesture"
"21","Lips","S1304",548.32,550.819,2.49899999999991,"gesture"
"22","Lips","S1304",553.428,555.49,2.06200000000001,"gesture"
"23","Lips","S1304",557.741,558.54,0.798999999999978,"gesture"
"24","Lips","S1304",558.54,564.494,5.95400000000006,"gesture"
"25","Lips","S1304",565.661,568.402,2.7410000000001,"gesture"
"26","Lips","S1304",623.048,627.303,4.255,"gesture"
"27","Lips","S1304",631.295,635.796,4.50100000000009,"gesture"
"28","Lips","S1304",635.962,643.636,7.67399999999998,"gesture"
"29","Lips","S1304",646.403,651.201,4.798,"gesture"
"30","Lips","S1304",654.337,658.126,3.78899999999999,"gesture"
"31","Head","S1304",355.114,355.846,0.732000000000028,"gesture"
"32","Head","S1304",356.146,356.788,0.641999999999996,"gesture"
"33","Head","S1304",360.768,361.433,0.66500000000002,"gesture"
"34","Head","S1304",474.853,476.119,1.26600000000002,"gesture"
"35","Head","S1304",477.906,478.305,0.399000000000001,"gesture"
"36","Head","S1304",479.81,481.754,1.94400000000002,"gesture"
"37","Head","S1304",541.223,541.49,0.267000000000053,"gesture"
"38","Head","S1304",544.046,544.779,0.732999999999947,"gesture"
"39","Head","S1304",551.953,552.718,0.764999999999986,"gesture"
